id,Exited_Prediction,Exited_Probability
165289,0,0.12
165290,0,0.26
165291,0,0.11
165292,0,0.22
165293,0,0.34
165294,0,0.02
165295,0,0.24
165296,0,0.29
165297,0,0.14
165298,0,0.05
165299,0,0.13
165300,1,0.58
165301,0,0.29
165302,0,0.43
165303,0,0.24
165304,0,0.01
165305,0,0.01
165306,0,0.12
165307,0,0.29
165308,0,0.05
165309,0,0.36
165310,0,0.17
165311,0,0.22
165312,1,0.71
165313,0,0.1
165314,0,0.05
165315,0,0.19
165316,0,0.15
165317,0,0.01
165318,1,0.62
165319,0,0.35
165320,0,0.17
165321,0,0.34
165322,0,0.14
165323,0,0.08
165324,0,0.16
165325,0,0.25
165326,1,0.53
165327,0,0.27
165328,0,0.28
165329,0,0.06
165330,0,0.25
165331,0,0.19
165332,0,0.29
165333,0,0.16
165334,0,0.01
165335,0,0.12
165336,0,0.25
165337,0,0.26
165338,0,0.26
165339,0,0.27
165340,0,0.2
165341,0,0.12
165342,0,0.05
165343,0,0.07
165344,0,0.27
165345,0,0.1
165346,1,0.72
165347,0,0.27
165348,0,0.16
165349,0,0.14
165350,0,0.06
165351,0,0.14
165352,0,0.17
165353,0,0.04
165354,0,0.24
165355,0,0.2
165356,0,0.02
165357,0,0.25
165358,0,0.29
165359,0,0.04
165360,1,0.69
165361,0,0.18
165362,0,0.22
165363,0,0.17
165364,0,0.04
165365,1,0.71
165366,0,0.01
165367,0,0.21
165368,0,0.25
165369,0,0.29
165370,0,0.31
165371,0,0.03
165372,0,0.19
165373,0,0.13
165374,0,0.42
165375,0,0.2
165376,0,0.01
165377,0,0.04
165378,0,0.16
165379,0,0.13
165380,0,0.32
165381,0,0.17
165382,0,0.02
165383,0,0.12
165384,0,0.11
165385,0,0.32
165386,1,0.68
165387,0,0.03
165388,0,0.4
165389,0,0.17
165390,1,0.62
165391,0,0.04
165392,0,0.17
165393,0,0.12
165394,0,0.23
165395,0,0.02
165396,0,0.04
165397,0,0.11
165398,0,0.45
165399,0,0.19
165400,0,0.15
165401,0,0.07
165402,0,0.41
165403,0,0.04
165404,0,0.16
165405,0,0.27
165406,0,0.09
165407,0,0.18
165408,0,0.3
165409,0,0.0
165410,0,0.04
165411,0,0.22
165412,0,0.1
165413,0,0.0
165414,0,0.18
165415,0,0.33
165416,1,0.52
165417,0,0.04
165418,0,0.08
165419,0,0.43
165420,0,0.2
165421,1,0.59
165422,0,0.04
165423,0,0.01
165424,0,0.08
165425,0,0.25
165426,0,0.29
165427,0,0.25
165428,0,0.21
165429,1,0.68
165430,0,0.09
165431,0,0.18
165432,0,0.4
165433,1,0.78
165434,1,0.59
165435,0,0.23
165436,0,0.32
165437,0,0.03
165438,0,0.11
165439,0,0.12
165440,0,0.33
165441,0,0.45
165442,0,0.07
165443,0,0.09
165444,0,0.21
165445,0,0.18
165446,0,0.19
165447,0,0.07
165448,0,0.22
165449,0,0.06
165450,0,0.03
165451,0,0.06
165452,1,0.57
165453,0,0.01
165454,1,0.62
165455,0,0.05
165456,1,0.55
165457,1,0.67
165458,0,0.03
165459,0,0.15
165460,0,0.15
165461,0,0.21
165462,0,0.25
165463,0,0.27
165464,0,0.13
165465,1,0.62
165466,0,0.01
165467,0,0.1
165468,0,0.18
165469,0,0.11
165470,0,0.18
165471,0,0.27
165472,0,0.02
165473,0,0.25
165474,1,0.61
165475,0,0.12
165476,0,0.37
165477,0,0.19
165478,0,0.32
165479,1,0.56
165480,0,0.06
165481,1,0.55
165482,0,0.02
165483,0,0.28
165484,0,0.04
165485,0,0.12
165486,0,0.34
165487,0,0.26
165488,0,0.02
165489,0,0.04
165490,0,0.32
165491,0,0.07
165492,0,0.25
165493,0,0.33
165494,0,0.03
165495,1,0.67
165496,0,0.05
165497,0,0.23
165498,0,0.3
165499,0,0.02
165500,0,0.03
165501,0,0.28
165502,0,0.02
165503,0,0.12
165504,0,0.49
165505,0,0.5
165506,0,0.0
165507,0,0.21
165508,0,0.14
165509,1,0.56
165510,0,0.34
165511,0,0.16
165512,0,0.2
165513,0,0.2
165514,0,0.3
165515,0,0.02
165516,0,0.25
165517,0,0.23
165518,0,0.02
165519,0,0.47
165520,0,0.36
165521,0,0.35
165522,0,0.09
165523,0,0.22
165524,0,0.36
165525,0,0.25
165526,1,0.59
165527,0,0.31
165528,0,0.03
165529,0,0.09
165530,0,0.46
165531,0,0.33
165532,0,0.47
165533,0,0.03
165534,0,0.23
165535,0,0.04
165536,0,0.02
165537,0,0.09
165538,0,0.26
165539,0,0.15
165540,0,0.12
165541,0,0.2
165542,0,0.07
165543,0,0.05
165544,0,0.08
165545,0,0.46
165546,0,0.17
165547,0,0.09
165548,0,0.3
165549,0,0.22
165550,0,0.24
165551,0,0.01
165552,0,0.32
165553,1,0.53
165554,0,0.0
165555,0,0.24
165556,0,0.22
165557,0,0.22
165558,0,0.03
165559,0,0.04
165560,0,0.29
165561,1,0.63
165562,0,0.36
165563,0,0.47
165564,0,0.43
165565,0,0.33
165566,0,0.09
165567,1,0.7
165568,0,0.2
165569,0,0.33
165570,0,0.1
165571,0,0.02
165572,1,0.67
165573,0,0.23
165574,0,0.17
165575,0,0.19
165576,0,0.0
165577,0,0.03
165578,1,0.75
165579,0,0.16
165580,0,0.12
165581,0,0.34
165582,1,0.62
165583,0,0.22
165584,0,0.11
165585,0,0.26
165586,0,0.12
165587,0,0.0
165588,0,0.48
165589,0,0.24
165590,1,0.62
165591,1,0.72
165592,0,0.02
165593,0,0.03
165594,0,0.13
165595,0,0.39
165596,0,0.1
165597,0,0.02
165598,0,0.28
165599,0,0.26
165600,0,0.0
165601,0,0.08
165602,0,0.2
165603,1,0.53
165604,0,0.04
165605,0,0.28
165606,0,0.37
165607,0,0.23
165608,0,0.3
165609,0,0.46
165610,0,0.21
165611,0,0.15
165612,0,0.0
165613,1,0.56
165614,0,0.5
165615,0,0.37
165616,0,0.17
165617,0,0.33
165618,1,0.73
165619,0,0.49
165620,0,0.23
165621,0,0.25
165622,0,0.3
165623,0,0.01
165624,0,0.01
165625,0,0.4
165626,0,0.06
165627,0,0.23
165628,0,0.05
165629,1,0.58
165630,0,0.44
165631,0,0.11
165632,0,0.27
165633,0,0.02
165634,0,0.03
165635,0,0.08
165636,0,0.13
165637,0,0.19
165638,0,0.25
165639,0,0.21
165640,1,0.75
165641,0,0.04
165642,0,0.08
165643,0,0.34
165644,0,0.01
165645,0,0.18
165646,0,0.02
165647,0,0.03
165648,1,0.56
165649,0,0.0
165650,1,0.62
165651,0,0.18
165652,0,0.16
165653,0,0.24
165654,0,0.11
165655,0,0.14
165656,0,0.29
165657,0,0.31
165658,0,0.42
165659,1,0.68
165660,0,0.28
165661,1,0.79
165662,0,0.4
165663,0,0.22
165664,0,0.12
165665,0,0.06
165666,0,0.4
165667,1,0.56
165668,0,0.03
165669,0,0.22
165670,0,0.04
165671,0,0.21
165672,0,0.23
165673,1,0.64
165674,0,0.48
165675,0,0.18
165676,1,0.57
165677,0,0.09
165678,0,0.33
165679,0,0.04
165680,0,0.05
165681,0,0.18
165682,0,0.02
165683,0,0.34
165684,0,0.2
165685,0,0.16
165686,0,0.01
165687,0,0.22
165688,1,0.59
165689,0,0.16
165690,0,0.29
165691,0,0.0
165692,0,0.48
165693,0,0.01
165694,0,0.02
165695,0,0.05
165696,0,0.36
165697,0,0.03
165698,0,0.25
165699,0,0.2
165700,0,0.3
165701,0,0.45
165702,0,0.2
165703,0,0.43
165704,0,0.01
165705,0,0.04
165706,0,0.29
165707,0,0.06
165708,0,0.27
165709,0,0.32
165710,1,0.52
165711,0,0.06
165712,0,0.01
165713,0,0.06
165714,1,0.67
165715,0,0.05
165716,0,0.37
165717,1,0.82
165718,0,0.21
165719,0,0.04
165720,0,0.1
165721,0,0.21
165722,0,0.42
165723,0,0.16
165724,1,0.67
165725,0,0.13
165726,0,0.42
165727,0,0.17
165728,0,0.09
165729,0,0.42
165730,0,0.04
165731,0,0.37
165732,0,0.41
165733,0,0.16
165734,0,0.28
165735,0,0.02
165736,0,0.36
165737,1,0.65
165738,0,0.05
165739,0,0.3
165740,0,0.22
165741,0,0.15
165742,0,0.4
165743,0,0.16
165744,0,0.02
165745,0,0.4
165746,0,0.3
165747,0,0.05
165748,1,0.53
165749,0,0.38
165750,0,0.14
165751,0,0.29
165752,0,0.05
165753,0,0.13
165754,0,0.31
165755,0,0.2
165756,0,0.44
165757,0,0.26
165758,0,0.19
165759,0,0.35
165760,0,0.35
165761,1,0.52
165762,1,0.65
165763,0,0.26
165764,0,0.13
165765,0,0.4
165766,0,0.22
165767,0,0.22
165768,0,0.27
165769,0,0.16
165770,0,0.32
165771,0,0.25
165772,0,0.16
165773,0,0.03
165774,0,0.01
165775,0,0.07
165776,0,0.24
165777,0,0.27
165778,0,0.25
165779,0,0.07
165780,1,0.64
165781,0,0.48
165782,0,0.28
165783,1,0.59
165784,1,0.57
165785,0,0.29
165786,0,0.18
165787,0,0.06
165788,0,0.3
165789,0,0.21
165790,1,0.72
165791,0,0.29
165792,0,0.42
165793,0,0.16
165794,0,0.16
165795,0,0.36
165796,0,0.06
165797,0,0.04
165798,0,0.25
165799,0,0.09
165800,0,0.36
165801,0,0.39
165802,0,0.05
165803,0,0.27
165804,0,0.27
165805,1,0.66
165806,0,0.03
165807,0,0.02
165808,1,0.71
165809,0,0.42
165810,0,0.13
165811,0,0.02
165812,1,0.83
165813,0,0.34
165814,0,0.03
165815,0,0.03
165816,0,0.21
165817,0,0.04
165818,0,0.43
165819,1,0.84
165820,0,0.28
165821,0,0.43
165822,0,0.08
165823,0,0.06
165824,0,0.17
165825,0,0.19
165826,0,0.16
165827,1,0.65
165828,0,0.0
165829,0,0.29
165830,1,0.52
165831,0,0.17
165832,0,0.07
165833,0,0.04
165834,0,0.3
165835,0,0.23
165836,0,0.08
165837,0,0.07
165838,0,0.04
165839,0,0.2
165840,0,0.26
165841,0,0.18
165842,0,0.15
165843,0,0.22
165844,0,0.21
165845,0,0.21
165846,0,0.01
165847,0,0.06
165848,0,0.0
165849,1,0.76
165850,0,0.3
165851,0,0.22
165852,0,0.37
165853,0,0.0
165854,0,0.16
165855,0,0.13
165856,0,0.03
165857,0,0.3
165858,0,0.15
165859,0,0.01
165860,0,0.03
165861,0,0.37
165862,0,0.01
165863,0,0.03
165864,0,0.24
165865,0,0.14
165866,0,0.04
165867,0,0.49
165868,0,0.1
165869,0,0.07
165870,1,0.74
165871,0,0.38
165872,0,0.32
165873,0,0.02
165874,0,0.1
165875,1,0.58
165876,0,0.41
165877,1,0.55
165878,0,0.04
165879,0,0.05
165880,0,0.36
165881,1,0.7
165882,0,0.44
165883,0,0.02
165884,1,0.51
165885,1,0.56
165886,0,0.02
165887,1,0.65
165888,1,0.59
165889,0,0.01
165890,0,0.36
165891,0,0.23
165892,0,0.09
165893,0,0.48
165894,0,0.33
165895,0,0.25
165896,1,0.72
165897,0,0.16
165898,0,0.01
165899,0,0.2
165900,0,0.05
165901,0,0.2
165902,0,0.19
165903,0,0.27
165904,0,0.07
165905,0,0.28
165906,0,0.21
165907,0,0.25
165908,0,0.33
165909,0,0.19
165910,0,0.31
165911,0,0.04
165912,0,0.45
165913,0,0.1
165914,0,0.38
165915,0,0.15
165916,0,0.3
165917,0,0.14
165918,0,0.38
165919,0,0.04
165920,1,0.86
165921,0,0.09
165922,0,0.1
165923,1,0.61
165924,0,0.2
165925,0,0.32
165926,0,0.27
165927,0,0.01
165928,0,0.32
165929,0,0.03
165930,1,0.62
165931,0,0.14
165932,0,0.31
165933,0,0.13
165934,0,0.13
165935,0,0.15
165936,0,0.26
165937,0,0.05
165938,1,0.7
165939,1,0.65
165940,1,0.62
165941,0,0.15
165942,0,0.02
165943,0,0.39
165944,0,0.37
165945,0,0.23
165946,0,0.34
165947,0,0.03
165948,0,0.13
165949,0,0.07
165950,0,0.22
165951,0,0.46
165952,0,0.25
165953,0,0.07
165954,0,0.43
165955,0,0.14
165956,0,0.33
165957,0,0.05
165958,0,0.02
165959,0,0.14
165960,0,0.11
165961,0,0.37
165962,1,0.69
165963,0,0.17
165964,0,0.0
165965,0,0.03
165966,1,0.6
165967,0,0.01
165968,1,0.6
165969,0,0.3
165970,0,0.31
165971,1,0.61
165972,1,0.55
165973,0,0.23
165974,0,0.3
165975,1,0.64
165976,0,0.08
165977,0,0.15
165978,1,0.61
165979,0,0.39
165980,0,0.01
165981,0,0.2
165982,0,0.33
165983,0,0.03
165984,0,0.36
165985,0,0.3
165986,0,0.1
165987,0,0.24
165988,0,0.31
165989,0,0.25
165990,0,0.25
165991,0,0.5
165992,0,0.19
165993,0,0.21
165994,0,0.23
165995,0,0.28
165996,0,0.24
165997,0,0.24
165998,0,0.28
165999,0,0.02
166000,0,0.09
166001,0,0.06
166002,0,0.18
166003,0,0.1
166004,0,0.05
166005,0,0.2
166006,0,0.21
166007,0,0.03
166008,0,0.0
166009,0,0.35
166010,1,0.83
166011,0,0.0
166012,0,0.05
166013,0,0.29
166014,0,0.24
166015,0,0.18
166016,0,0.29
166017,0,0.18
166018,0,0.31
166019,0,0.01
166020,0,0.01
166021,0,0.21
166022,0,0.13
166023,0,0.06
166024,1,0.6
166025,0,0.26
166026,0,0.3
166027,0,0.04
166028,1,0.76
166029,0,0.09
166030,0,0.11
166031,1,0.6
166032,0,0.1
166033,0,0.14
166034,0,0.0
166035,1,0.79
166036,1,0.78
166037,0,0.33
166038,0,0.0
166039,0,0.05
166040,1,0.54
166041,0,0.04
166042,0,0.01
166043,0,0.28
166044,0,0.08
166045,0,0.24
166046,0,0.26
166047,0,0.1
166048,0,0.19
166049,0,0.26
166050,1,0.64
166051,0,0.13
166052,0,0.32
166053,0,0.48
166054,0,0.06
166055,1,0.61
166056,0,0.12
166057,0,0.06
166058,0,0.46
166059,1,0.78
166060,0,0.26
166061,0,0.29
166062,1,0.65
166063,1,0.56
166064,0,0.05
166065,0,0.45
166066,0,0.1
166067,0,0.44
166068,0,0.1
166069,0,0.38
166070,1,0.84
166071,0,0.08
166072,0,0.21
166073,0,0.39
166074,1,0.53
166075,1,0.53
166076,0,0.24
166077,0,0.24
166078,0,0.25
166079,0,0.19
166080,0,0.15
166081,0,0.15
166082,0,0.49
166083,0,0.42
166084,0,0.3
166085,0,0.2
166086,0,0.14
166087,0,0.24
166088,0,0.13
166089,0,0.06
166090,0,0.26
166091,0,0.23
166092,1,0.87
166093,1,0.58
166094,1,0.79
166095,0,0.01
166096,0,0.47
166097,0,0.33
166098,0,0.23
166099,1,0.58
166100,0,0.13
166101,0,0.02
166102,0,0.17
166103,0,0.04
166104,0,0.4
166105,0,0.25
166106,0,0.42
166107,0,0.3
166108,1,0.62
166109,0,0.3
166110,0,0.17
166111,0,0.03
166112,0,0.11
166113,0,0.25
166114,0,0.31
166115,0,0.07
166116,0,0.22
166117,0,0.05
166118,0,0.14
166119,0,0.0
166120,0,0.04
166121,0,0.11
166122,0,0.05
166123,0,0.0
166124,0,0.05
166125,0,0.35
166126,0,0.24
166127,0,0.11
166128,0,0.04
166129,1,0.89
166130,0,0.46
166131,0,0.33
166132,0,0.18
166133,0,0.28
166134,0,0.37
166135,0,0.25
166136,0,0.01
166137,0,0.49
166138,0,0.35
166139,0,0.3
166140,0,0.17
166141,0,0.05
166142,0,0.06
166143,0,0.19
166144,0,0.3
166145,0,0.03
166146,0,0.1
166147,1,0.72
166148,0,0.29
166149,0,0.0
166150,0,0.12
166151,1,0.51
166152,0,0.15
166153,0,0.07
166154,0,0.08
166155,0,0.26
166156,0,0.07
166157,0,0.3
166158,0,0.3
166159,0,0.46
166160,0,0.02
166161,0,0.04
166162,0,0.24
166163,0,0.03
166164,0,0.25
166165,0,0.25
166166,0,0.07
166167,0,0.08
166168,1,0.54
166169,0,0.13
166170,0,0.4
166171,0,0.04
166172,1,0.6
166173,0,0.12
166174,0,0.28
166175,0,0.05
166176,0,0.03
166177,0,0.23
166178,0,0.29
166179,0,0.19
166180,0,0.21
166181,0,0.26
166182,1,0.55
166183,1,0.62
166184,0,0.07
166185,0,0.1
166186,0,0.36
166187,0,0.22
166188,1,0.51
166189,0,0.05
166190,0,0.26
166191,0,0.33
166192,0,0.42
166193,0,0.32
166194,0,0.26
166195,1,0.62
166196,0,0.35
166197,1,0.71
166198,0,0.17
166199,0,0.09
166200,0,0.05
166201,1,0.84
166202,0,0.17
166203,0,0.16
166204,0,0.19
166205,1,0.62
166206,0,0.48
166207,1,0.63
166208,1,0.71
166209,0,0.12
166210,0,0.04
166211,0,0.0
166212,0,0.08
166213,0,0.13
166214,0,0.22
166215,0,0.13
166216,0,0.13
166217,0,0.19
166218,1,0.77
166219,0,0.33
166220,0,0.36
166221,0,0.45
166222,0,0.46
166223,0,0.22
166224,0,0.14
166225,0,0.42
166226,0,0.23
166227,0,0.1
166228,1,0.9
166229,0,0.04
166230,0,0.0
166231,0,0.25
166232,0,0.03
166233,0,0.23
166234,0,0.04
166235,0,0.04
166236,0,0.04
166237,1,0.66
166238,1,0.88
166239,0,0.04
166240,0,0.02
166241,0,0.06
166242,0,0.29
166243,0,0.22
166244,0,0.26
166245,0,0.04
166246,0,0.01
166247,1,0.65
166248,0,0.28
166249,0,0.3
166250,0,0.01
166251,0,0.24
166252,0,0.16
166253,0,0.42
166254,0,0.05
166255,0,0.13
166256,1,0.54
166257,1,0.87
166258,0,0.11
166259,1,0.58
166260,0,0.05
166261,0,0.48
166262,0,0.12
166263,1,0.72
166264,0,0.07
166265,0,0.26
166266,0,0.0
166267,0,0.31
166268,0,0.15
166269,0,0.3
166270,0,0.22
166271,0,0.07
166272,0,0.01
166273,0,0.27
166274,0,0.04
166275,0,0.03
166276,0,0.4
166277,0,0.39
166278,0,0.06
166279,0,0.15
166280,0,0.16
166281,0,0.43
166282,0,0.12
166283,0,0.27
166284,0,0.36
166285,0,0.29
166286,0,0.39
166287,0,0.38
166288,0,0.29
166289,0,0.05
166290,1,0.58
166291,0,0.1
166292,0,0.02
166293,0,0.33
166294,0,0.37
166295,0,0.24
166296,0,0.3
166297,0,0.15
166298,0,0.06
166299,0,0.5
166300,0,0.14
166301,0,0.21
166302,0,0.24
166303,0,0.15
166304,0,0.36
166305,0,0.13
166306,0,0.15
166307,0,0.01
166308,1,0.7
166309,0,0.06
166310,0,0.41
166311,1,0.76
166312,0,0.38
166313,0,0.3
166314,0,0.31
166315,0,0.01
166316,0,0.35
166317,0,0.24
166318,0,0.18
166319,0,0.03
166320,0,0.21
166321,0,0.47
166322,1,0.51
166323,0,0.36
166324,1,0.75
166325,0,0.25
166326,0,0.22
166327,0,0.1
166328,0,0.25
166329,0,0.21
166330,0,0.41
166331,1,0.52
166332,0,0.12
166333,1,0.56
166334,0,0.41
166335,0,0.14
166336,0,0.05
166337,0,0.37
166338,0,0.11
166339,1,0.74
166340,0,0.05
166341,0,0.08
166342,0,0.26
166343,0,0.06
166344,0,0.03
166345,0,0.07
166346,1,0.68
166347,1,0.72
166348,1,0.75
166349,0,0.26
166350,0,0.08
166351,0,0.17
166352,0,0.48
166353,0,0.28
166354,0,0.22
166355,0,0.14
166356,0,0.21
166357,0,0.36
166358,0,0.23
166359,0,0.21
166360,0,0.1
166361,0,0.09
166362,1,0.67
166363,1,0.56
166364,0,0.01
166365,0,0.27
166366,0,0.03
166367,0,0.33
166368,0,0.26
166369,0,0.27
166370,0,0.28
166371,0,0.28
166372,0,0.21
166373,1,0.66
166374,0,0.18
166375,0,0.02
166376,1,0.72
166377,0,0.48
166378,0,0.13
166379,0,0.28
166380,0,0.49
166381,0,0.09
166382,0,0.44
166383,0,0.15
166384,0,0.06
166385,1,0.72
166386,0,0.26
166387,0,0.14
166388,0,0.02
166389,0,0.2
166390,0,0.16
166391,0,0.07
166392,0,0.3
166393,0,0.13
166394,1,0.54
166395,0,0.04
166396,0,0.03
166397,0,0.46
166398,1,0.55
166399,0,0.46
166400,0,0.05
166401,0,0.02
166402,0,0.01
166403,1,0.58
166404,1,0.72
166405,0,0.02
166406,0,0.3
166407,0,0.2
166408,0,0.08
166409,0,0.01
166410,0,0.13
166411,0,0.21
166412,0,0.48
166413,0,0.2
166414,0,0.18
166415,0,0.39
166416,0,0.13
166417,0,0.38
166418,0,0.15
166419,0,0.03
166420,1,0.93
166421,0,0.1
166422,0,0.25
166423,0,0.3
166424,0,0.47
166425,0,0.06
166426,0,0.34
166427,1,0.52
166428,0,0.35
166429,0,0.02
166430,1,0.62
166431,0,0.05
166432,0,0.25
166433,0,0.29
166434,0,0.07
166435,0,0.13
166436,0,0.33
166437,1,0.74
166438,1,0.62
166439,0,0.28
166440,0,0.31
166441,0,0.14
166442,0,0.02
166443,0,0.03
166444,0,0.36
166445,0,0.26
166446,0,0.11
166447,0,0.13
166448,0,0.01
166449,0,0.09
166450,0,0.32
166451,1,0.63
166452,0,0.26
166453,0,0.08
166454,1,0.51
166455,0,0.15
166456,0,0.2
166457,1,0.76
166458,0,0.08
166459,0,0.16
166460,0,0.12
166461,0,0.33
166462,0,0.28
166463,0,0.49
166464,0,0.29
166465,0,0.24
166466,0,0.14
166467,0,0.37
166468,0,0.02
166469,0,0.01
166470,1,0.54
166471,0,0.02
166472,0,0.39
166473,0,0.07
166474,0,0.19
166475,0,0.25
166476,0,0.12
166477,0,0.19
166478,0,0.01
166479,0,0.08
166480,0,0.19
166481,1,0.52
166482,0,0.13
166483,0,0.49
166484,0,0.23
166485,1,0.56
166486,0,0.31
166487,0,0.04
166488,0,0.06
166489,0,0.08
166490,1,0.6
166491,0,0.06
166492,0,0.47
166493,0,0.1
166494,0,0.04
166495,0,0.18
166496,0,0.23
166497,0,0.48
166498,0,0.14
166499,0,0.21
166500,0,0.09
166501,0,0.18
166502,1,0.76
166503,0,0.15
166504,0,0.23
166505,0,0.19
166506,0,0.01
166507,0,0.01
166508,0,0.45
166509,1,0.58
166510,1,0.63
166511,0,0.06
166512,0,0.32
166513,0,0.07
166514,0,0.31
166515,0,0.26
166516,0,0.19
166517,0,0.46
166518,0,0.05
166519,0,0.03
166520,0,0.21
166521,0,0.01
166522,0,0.02
166523,1,0.61
166524,1,0.52
166525,0,0.0
166526,0,0.05
166527,0,0.28
166528,0,0.19
166529,0,0.37
166530,0,0.09
166531,0,0.15
166532,0,0.04
166533,0,0.26
166534,0,0.1
166535,1,0.51
166536,0,0.06
166537,0,0.07
166538,0,0.07
166539,0,0.15
166540,0,0.07
166541,0,0.04
166542,1,0.56
166543,0,0.28
166544,0,0.21
166545,0,0.04
166546,0,0.32
166547,0,0.13
166548,1,0.69
166549,1,0.6
166550,0,0.23
166551,0,0.06
166552,0,0.48
166553,0,0.1
166554,0,0.5
166555,0,0.19
166556,0,0.14
166557,0,0.09
166558,1,0.76
166559,0,0.08
166560,0,0.42
166561,0,0.21
166562,0,0.11
166563,0,0.16
166564,0,0.14
166565,0,0.21
166566,0,0.26
166567,0,0.0
166568,0,0.03
166569,0,0.43
166570,0,0.27
166571,0,0.09
166572,0,0.0
166573,0,0.25
166574,0,0.14
166575,1,0.62
166576,0,0.06
166577,0,0.1
166578,0,0.13
166579,0,0.18
166580,0,0.35
166581,0,0.11
166582,0,0.06
166583,0,0.16
166584,0,0.18
